running_no;year;boxor;box;HEXP;egg_code;code_shift;eggmass;bs_final;bs_origin;individual;sex;mass0;mass2;mass5;mass8;mass11;mass12;mass14;tars14R;tarwho;pha_fin
1;2016;2016_N010;2016_N010;CORT;2016_E0112;0;1.28;8;2;ID00511;F;0.87;2;;8.6;10;11.32;;16.93;MEASURER1;0.506666667
2;2016;2016_N011;2016_N010;T4;2016_E0107;0;1.26;8;8;ID00513;M;0.86;2.3;;9.6;11.42;11.92;;17.45;MEASURER1;1.413333333
3;2016;2016_N011;2016_N010;CORT;2016_E0108;0;1.24;8;8;ID00512;M;0.88;2.5;;9.9;11.46;11.46;;17.5;MEASURER1;1.1
4;2016;2016_N018;2016_N018;T4;2016_E0185;0;1.12;8;8;ID00536;M;0.78;1.4;3.7;6.4;8.52;9.76;10.3;17.33;MEASURER1;0.963333333
5;2016;2016_N018;2016_N018;T4;2016_E0186;0;1.14;8;8;ID00531;F;0.77;1.9;5.4;7.8;9.33;10.04;10.1;16.96;MEASURER1;0.616666667
6;2016;2016_N018;2016_N018;C;2016_E0188;0;1.11;8;8;ID00533;M;0.82;2;5.4;8;9.8;9.84;10.5;17.28;MEASURER1;0.686666667
7;2016;2016_N019;2016_N018;T4;2016_E0182;0;1.36;8;9;ID00535;M;0.84;2.2;6.3;8.8;10.93;11.41;11.4;16.45;MEASURER1;0.943333333
8;2016;2016_N019;2016_N018;CORT;2016_E0183;0;1.42;8;9;ID00532;M;0.95;2.2;6.3;9.6;10.86;11.8;11.7;17.54;MEASURER1;0.636666667
9;2016;2016_N019;2016_N018;C;2016_E0184;0;1.38;8;9;ID00534;M;0.94;2.2;6.6;9.6;11.37;11.57;12.5;17.08;MEASURER1;0.82
10;2016;2016_N033;2016_N033;T4;2016_E0351;0;1.17;7;8;ID00564;F;0.87;2.3;6.5;9.6;10.36;10.83;11;15.92;MEASURER1;1.213333333
11;2016;2016_N033;2016_N033;CORT;2016_E0352;0;1.16;7;8;ID00559;F;0.85;2;5.7;9;10.39;10.14;10.8;15.62;MEASURER1;0.446666667
12;2016;2016_N033;2016_N033;C;2016_E0353;0;1.14;7;8;ID00561;F;0.75;2.2;6.1;9.3;10.22;10.72;11.4;16.19;MEASURER1;0.763333333
13;2016;2016_N034;2016_N033;T4;2016_E0354;0;1.29;7;8;ID00563;F;0.96;1.5;4.7;7.8;9.62;9.81;10.5;16.27;MEASURER1;1.123333333
14;2016;2016_N034;2016_N033;CORT;2016_E0355;0;1.26;7;8;ID00562;M;0.8;2;5.5;8.9;10.55;10.35;11.4;16.1;MEASURER1;0.763333333
15;2016;2016_N034;2016_N033;C;2016_E0356;0;1.26;7;8;ID00560;F;0.83;1.7;4.7;7.8;9.49;9.92;10.7;15.48;MEASURER1;0.623333333
